"","timepoints9","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"MPPED2",1.1603544395077,0.363394802722633,0.414119900238308,0.0233431496621522,0.87086253876374,0.124313414627722
"MRC1",-0.143388665624854,-0.182879679238649,-0.216126924243288,-0.222131146157647,-0.249664517293354,-0.228616548773944
"MS4A2",-0.0518466702783378,-0.0518466702783378,-0.0518466702783378,-0.0518466702783378,-0.0518466702783378,-0.0518466702783378
"MS4A3",-0.0561267708520227,-0.0561267708520227,-0.0561267708520227,-0.0561267708520227,-0.0561267708520227,-0.0561267708520227
"MS4A4A",-0.310224383224395,-0.302614633026535,-0.238595831288775,-0.215540258707449,-0.285992400761583,-0.285139704476324
"MS4A6A",-0.327481171858833,-0.247063807654279,-0.250916068717785,-0.138663576644039,-0.296144134257035,-0.28972705628022
"MS4A7",-0.153933810236986,0.215997219186335,-0.138974452883167,-0.0723581250322958,-0.282726781907495,-0.231642831013406
"MSR1",-0.105357631920321,-0.233585271208859,-0.19798415935087,-0.102727599684111,-0.233585271208859,-0.233585271208859
"MST1R",-0.0693283651796191,-0.0693283651796191,0.0077763423304476,-0.0693283651796191,-0.0693283651796191,-0.0693283651796191
"MSX2P1",-0.0569292943147317,-0.0569292943147317,0.491630485375163,-0.0569292943147317,-0.0569292943147317,-0.0569292943147317
"MT1E",-0.333094680475981,0.0893750749149183,0.179969001557951,-0.0710460048081024,-0.326245719539182,-0.223519964816559
"MT1F",0.949427007366797,-0.0139529997925413,0.571035590200309,-0.192942461468349,0.0792619773045084,-0.255150197425609
"MT1G",-0.119119335758734,-0.119119335758734,-0.111486494331823,-0.00277880616282775,-0.119119335758734,-0.119119335758734
"MT1H",-0.042769114610756,-0.042769114610756,-0.042769114610756,-0.042769114610756,-0.042769114610756,-0.042769114610756
"MT2A",-0.588474007445619,-0.147352564219672,-0.0366907696451854,-0.127766174099268,-0.122841317014661,-0.243596120405549
"MT3",-0.248911217637511,0.754507406971878,-0.000444410294406721,0.653038272232085,0.024960641720979,0.179314261168633
"TESMIN",0.337189417406439,0.0594026059354254,0.215059147781156,-0.195084920016043,-0.206466801450095,-0.206466801450095
"MUC15",-0.00504793960466154,-0.273203570395812,-0.0313518089947562,-0.155285001957564,-0.0359337804374472,-0.273203570395812
"MUC16",-0.0499367275160347,-0.0499367275160347,-0.0499367275160347,-0.0499367275160347,-0.0499367275160347,-0.0499367275160347
"MUC17",-0.0274250988476727,-0.0274250988476727,-0.0274250988476727,-0.0274250988476727,-0.0274250988476727,-0.0274250988476727
"MUC19",-0.0610667293566214,-0.0610667293566214,-0.0610667293566214,-0.0610667293566214,-0.0610667293566214,-0.0610667293566214
"MUC5B",-0.0708067466920015,-0.0708067466920015,-0.0465458579929285,-0.0155927275579305,-0.0708067466920015,0.080018831515011
"MX1",-0.297671667776617,-0.269619039764626,-0.0106096347628363,-0.220457001636119,0.165877150068816,-0.297671667776617
"MX2",-0.156121978140384,-0.156121978140384,-0.136140805812566,-0.143546535308942,-0.156121978140384,-0.156121978140384
"MXD3",-0.256914431275451,-0.14259415100552,-0.176896182097414,-0.233387793352374,-0.21835239971732,-0.227395355798178
"MYB",-0.0960871319680628,-0.0960871319680628,-0.0960871319680628,-0.0960871319680628,-0.0960871319680628,-0.0960871319680628
"MYBPHL",-0.081136336847335,-0.081136336847335,-0.081136336847335,0.0315821343832916,-0.0590342764092947,-0.081136336847335
"MYC",-0.116040950854241,-0.178244332835967,-0.184106283530808,-0.108587731966844,-0.23104910751917,-0.288778928650743
"MYF6",-0.140568548874697,-0.140568548874697,-0.140568548874697,-0.140568548874697,-0.140568548874697,-0.140568548874697
"MYH15",-0.120685726517319,-0.120685726517319,0.0872560491948236,0.00350659552027503,0.183417246514407,-0.120685726517319
"MYL4",-0.203399435434405,-0.203399435434405,-0.188315889182781,-0.189177598192371,-0.0918979161742643,-0.203399435434405
"MYO10",-0.403612361387695,0.0588607271164243,0.368467777491818,0.220640343343565,0.210853660970922,-0.415786410443365
"MYO16-AS1",-0.0291986486656164,-0.0291986486656164,-0.0291986486656164,-0.0291986486656164,-0.0291986486656164,-0.0291986486656164
"MYO18B",-0.0485656578789736,-0.0485656578789736,0.0597423714194791,-0.0485656578789736,-0.0485656578789736,-0.0485656578789736
