"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints11","timepoints13"
"CRISP2",-0.0826415775716331,-0.0826415775716331,-0.0826415775716331,-0.0826415775716331,-0.0826415775716331,-0.0826415775716331,-0.0826415775716331,-0.0826415775716331
"CRISP3",-0.0195600025822188,-0.0518330022810194,-0.0518330022810194,-0.0518330022810194,-0.0518330022810194,-0.0518330022810194,-0.0518330022810194,-0.0518330022810194
"CRNDE",0.455000350673872,0.0367209048845091,0.194141073016067,0.238704507533212,-0.183475775732071,-0.183475775732071,-0.183475775732071,2.46418754809485
"CRTAM",-0.0795148322977709,-0.0795148322977709,-0.0795148322977709,-0.0795148322977709,-0.0795148322977709,-0.0795148322977709,-0.0795148322977709,-0.0795148322977709
"CRTC3-AS1",-0.042139707506002,0.0798381219273962,0.522161830328628,-0.0829573787397848,-0.0829573787397848,-0.0829573787397848,-0.0829573787397848,-0.0829573787397848
"CRYAB",1.93052096353287,0.462465238884462,0.775119943523374,-0.0721288467894389,0.296035621165591,0.509831701431823,-0.390168403095078,1.63297032957848
"CRYBA2",-0.231182457920225,-0.0956668108440827,-0.231182457920225,0.442813523207866,-0.0662325601914477,1.03434251141356,-0.231182457920225,-0.156396088339566
"CRYBB1",-0.119625367683471,-0.119625367683471,-0.119625367683471,-0.0088970308349665,-0.119625367683471,-0.119625367683471,-0.119625367683471,-0.119625367683471
"CRYBG3",-0.174998317403695,0.173024075084782,0.369108985850728,0.168335173531343,-0.0577553872857379,0.384056156552592,-0.320208364288088,-0.320208364288088
"CRYGA",-0.0275558732687388,-0.0275558732687388,-0.0275558732687388,-0.0275558732687388,-0.0275558732687388,-0.0275558732687388,-0.0275558732687388,-0.0275558732687388
"CRYGC",0.033481770494357,-0.0814259183650513,-0.0814259183650513,-0.00421504910594661,-0.0814259183650513,-0.0814259183650513,-0.0814259183650513,-0.0814259183650513
"CRYGD",0.67688742604029,0.452717888522912,-0.128391386017213,-0.112622769512883,-0.0832596282457115,-0.18138619562597,-0.18138619562597,-0.18138619562597
"CRYM",0.112091407370991,0.0141328292996673,-0.0961947179447025,-0.19866665595902,-0.22625456633578,-0.331373330910767,-0.331373330910767,-0.288694901104387
